Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
1970,10.8,11.5,14.2,18.3,20,21.8,23,23.8,22.4,19.1,15.8,9.4,17.5
1971,11.9,10,13.1,13.9,21.5,21.9,22.3,23.8,22.9,19.2,14.7,8.7,17
1972,8.3,8.2,12,18,19,21.4,22.1,23.8,23.7,21.4,14.5,9,16.8
1973,9,12.7,11.9,15.2,19.8,21.3,24.4,22.9,23.2,21.5,12.9,11,17.2
1974,6.2,9.6,13.1,15.8,19.5,22.6,24,23.1,22.3,22.3,15.8,9.6,17
1975,8.6,9.2,13,18.7,18.7,21.5,23.4,22.3,22.1,19.6,15.5,9.3,16.8
1976,8.8,8.1,11.9,15.7,19.9,21.4,22.5,22.4,22,21.1,17.3,12.6,17
1977,8.3,13.8,11.9,15.5,21.2,22.6,24.3,25.4,22.1,18.3,16.7,9.5,17.5
1978,9.5,11.7,13,16.8,22.2,22.5,26.2,22.6,21.9,22.2,13.1,11.9,17.8
1979,10.1,12.5,13.9,17.7,19.5,23.6,23.4,24.2,23.3,20.9,17.3,9.4,18
1980,8.1,8.6,12.4,16.1,21.3,23.8,23.6,24.1,21.6,21,16.7,11.3,17.4
1981,8,9.3,13.3,16.6,18.6,22.8,23.9,24,24,21.9,13.1,12.7,17.4
1982,9.9,7.5,10.2,17.7,18.6,22.6,22.7,23.4,22.7,20.6,12.4,9.1,16.5
1983,5.7,7.5,10.9,14.9,19.9,22.4,23.6,23.6,22.3,18.9,16.8,11.6,16.5
1984,9.3,11.8,13.2,15,21.4,21.6,23.2,22.3,23.4,21.3,14.8,9.9,17.3
1985,11.9,8.7,13,16.4,21,22.4,23.5,25.7,23.2,18.5,17.5,11.7,17.8
1986,10,11.3,14,18.9,17.2,22.5,23.9,24,24.9,19.9,12.3,9.5,17.4
1987,11.1,12.6,9.6,14.7,21.1,22.6,25,25,23.5,18.5,16.4,11.2,17.6
1988,9,9.1,11.5,17.4,22.4,23.4,25.4,24.8,24.3,19.2,13.4,10.8,17.6
